serial,Source,commodity,Date,Sentence,polarity,subjectivety,Sentiment_type
7994,Money Control,natural gas,28.01.2015,Natural gas futures drop 2% in aftermath of Northeast blizzard,0.1,0.4,Positive
8007,Money Control,natural gas,27.01.2015,Natural gas futures climb 3% on Northeast blizzard demand,0.1,0.4,Positive
8015,Money Control,natural gas,26.01.2015,Natural gas futures drop 3% despite Northeast blizzard,0.1,0.4,Positive
8018,Money Control,natural gas,25.01.2015,Natural gas futures - weekly outlook: January 26 - 30,0.1,0.4,Positive
8090,Money Control,natural gas,15.01.2015,Natural gas futures add to gains after bullish storage data,0.1,0.4,Positive
8103,Money Control,natural gas,14.01.2015,Natural gas futures surge 6% as forecasts turn chilly,-0.25,0.65,Negative
8117,Money Control,natural gas,13.01.2015,Natural gas futures rebound after hitting 2-year low,0.05,0.35,Positive
8185,Money Control,natural gas,05.01.2015,Natural gas futures surge 5% on cold weather outlook,-0.25,0.7,Negative
8197,Money Control,natural gas,02.01.2015,Natural gas eases off 2-year lows on cold weather outlook,-0.25,0.7,Negative
8210,Money Control,natural gas,30.12.2014,Natural gas re-approaches 2-year lows despite cold weather outlook,-0.25,0.7,Negative
8241,Money Control,natural gas,23.12.2014,Natural gas hovers near 2-year lows on weather outlook,0.1,0.4,Positive
8248,Money Control,natural gas,22.12.2014,Natural gas drops to nearly 2-year lows on mild weather,0.177777778,0.433333333,Positive
8262,Money Control,natural gas,19.12.2014,Natural gas slides as market prices in chilly U.S. weather forecasts,-0.25,0.65,Negative
8263,Money Control,natural gas,18.12.2014,"Natural gas falls after supply data, weather forecast still supports",0.1,0.4,Positive
8268,Money Control,natural gas,18.12.2014,Watch the interview of Kunal Shah of Nirmal Bang Commodities with Ekta Batra and Anuj Singhal on CNBC-TV18. He spoke about the current trend in commodities markets.,0,0.4,Neutral
8273,Money Control,natural gas,17.12.2014,Natural gas gains on forecasts for a chilly end to 2014,-0.25,0.65,Negative
8280,Money Control,natural gas,17.12.2014,"Karvy believes that, Natural Gas prices may see good volatile behavior in coming sessions however technical analysis supports the bearish view and thus look to the sell NG today, says the report.",0.266666667,0.366666667,Positive
8285,Money Control,natural gas,16.12.2014,Natural gas falls on milder weather forecasts,0.1,0.4,Positive
8311,Money Control,natural gas,13.12.2014,Natural gas gains as forecasts point to cooling U.S. weather,0.1,0.4,Positive
8346,Money Control,natural gas,09.12.2014,Natural gas futures bounce off 13-month low on bargain buying,0.05,0.35,Positive
8367,Money Control,natural gas,06.12.2014,Natural gas gains as markets price in mild temperatures,0.216666667,0.45,Positive
8378,Money Control,natural gas,04.12.2014,"Natural gas edges lower on bearish stockpile report, mild U.S. weather",0.216666667,0.45,Positive
8403,Money Control,natural gas,02.12.2014,Natural gas continues slide on mild U.S. weather forecasts,0.216666667,0.45,Positive
8432,Money Control,natural gas,30.11.2014,Natural gas futures - weekly outlook: December 1 - 5,0.1,0.4,Positive
8441,Money Control,natural gas,27.11.2014,Natural gas futures plunge 3% in holiday-thinned trade,0.1,0.4,Positive
8458,Money Control,natural gas,27.11.2014,Natural gas falls on mild weather forecasts,0.216666667,0.45,Positive
8460,Money Control,natural gas,26.11.2014,Natural gas futures edge higher ahead of weekly storage data,0.175,0.45,Positive
8474,Money Control,natural gas,25.11.2014,Natural gas rebounds as market prices in mild temperatures,0.216666667,0.45,Positive
8488,Money Control,natural gas,24.11.2014,Natural gas futures plunge 5% on mild weather outlook,0.216666667,0.45,Positive
8500,Money Control,natural gas,23.11.2014,Natural gas futures - weekly outlook: November 24 - 28,0.1,0.4,Positive
8502,Money Control,natural gas,22.11.2014,Natural gas drops as U.S. thaws after blast of cold air,-0.25,0.7,Negative
8517,Money Control,natural gas,19.11.2014,Natural gas shoots up on chilly U.S. weather forecasts,-0.25,0.65,Negative
8518,Money Control,natural gas,19.11.2014,Natural gas futures soar 4% as Artic chill sweeps across U.S.,0.1,0.4,Positive
8533,Money Control,natural gas,18.11.2014,"Way2Wealth has recommended to sell MCX Natural Gas Nov around Rs 260.40 with a stop loss of Rs 257 for the target price of Rs 265, in its research report dated November 18, 2014.",0.1,0.4,Positive
8541,Money Control,natural gas,17.11.2014,Natural gas futures soar more than 4% in early trade,0.233333333,0.4,Positive
8555,Money Control,natural gas,16.11.2014,Natural gas futures - weekly outlook: November 17 - 21,0.1,0.4,Positive
8571,Money Control,natural gas,13.11.2014,Natural gas futures drop a fourth day on moderating weather,0.05,0.2,Positive
8600,Money Control,natural gas,10.11.2014,Natural gas dips on forecasts for mild southern U.S. temperatures,0.144444444,0.3,Positive
8615,Money Control,natural gas,08.11.2014,Natural gas gains as weather forecasts offset bearish supply report,0.1,0.4,Positive
8624,Money Control,natural gas,06.11.2014,Natural gas futures remain lower after storage data,0.1,0.4,Positive
8630,Money Control,natural gas,05.11.2014,Natural gas futures rally to 4-month high ahead of storage data,0.13,0.47,Positive
8641,Money Control,natural gas,05.11.2014,"Natural gas extends gains on cool U.S. weather, supply expectations",0.225,0.525,Positive
8668,Money Control,natural gas,30.10.2014,Natural gas futures off the highs after bearish storage data,0.1,0.4,Positive
8683,Money Control,natural gas,29.10.2014,Natural gas futures rise to 1-week high ahead of storage data,0.13,0.47,Positive
8703,Money Control,natural gas,27.10.2014,Natural gas falls as weather forecasts point to mild U.S. temperatures,0.216666667,0.45,Positive
8713,Money Control,natural gas,26.10.2014,Natural gas futures - weekly outlook: October 27 - 31,0.1,0.4,Positive
8716,Money Control,natural gas,24.10.2014,Natural gas dips as weather forecasts stay mild,0.216666667,0.45,Positive
8721,Money Control,natural gas,23.10.2014,Natural gas moves off earlier highs on mild weather forecasts,0.144444444,0.466666667,Positive
8722,Money Control,natural gas,23.10.2014,Natural gas hovers near 11-month lows after supply data,0.1,0.4,Positive
8764,Money Control,natural gas,18.10.2014,Natural gas falls on forecasts for mild U.S. weather,0.216666667,0.45,Positive
8769,Money Control,natural gas,16.10.2014,"Natural gas falls on U.S. supply report, weather forecasts",0.1,0.4,Positive
8788,Money Control,natural gas,15.10.2014,Natural gas falls on uncertain weather forecasts,0.1,0.4,Positive
8806,Money Control,natural gas,13.10.2014,Natural gas gains on cooler U.S. weather forecasts,0.1,0.4,Positive
8807,Money Control,natural gas,13.10.2014,Natural gas futures edge higher in holiday trade,0.175,0.45,Positive
8828,Money Control,natural gas,10.10.2014,Natural gas dips on forecasts for mild U.S. autumn weather,0.216666667,0.45,Positive
8862,Money Control,natural gas,16.09.2014,Natural gas firms on U.S. weather forecasts,0.1,0.4,Positive
8868,Money Control,natural gas,15.09.2014,Natural gas gains as U.S. weather forecasts heat up,0.1,0.4,Positive
8882,Money Control,natural gas,14.09.2014,Natural gas futures - weekly outlook: September 15 - 19,0.1,0.4,Positive
8886,Money Control,natural gas,12.09.2014,Natural gas extend losses but hold steady on U.S. supply report,0.133333333,0.45,Positive
8907,Money Control,natural gas,09.09.2014,Natural gas rises as weather forecasts call for northern U.S. cool snap,0.225,0.525,Positive
8909,Money Control,natural gas,09.09.2014,Natural gas futures soar 2% to hit 1-week high on demand hopes,0.13,0.47,Positive
8914,Money Control,natural gas,08.09.2014,Natural gas post solid gains on bargain hunting,0.05,0.25,Positive
8915,Money Control,natural gas,08.09.2014,Natural gas futures bounce off 5-week low in early trade,0.066666667,0.333333333,Positive
8923,Money Control,natural gas,05.09.2014,Natural gas edges lower on forecasts for cooler U.S. weather,0.1,0.4,Positive
8927,Money Control,natural gas,04.09.2014,Natural gas takes a dive on bearish weekly U.S. stockpile report,0.1,0.4,Positive
8936,Money Control,natural gas,03.09.2014,"Natural gas falls to 2-week low with weather, supplies in focus",0.05,0.35,Positive
8945,Money Control,natural gas,02.09.2014,Natural gas prices drop on forecasts for cooler weather,0.1,0.4,Positive
8960,Money Control,natural gas,28.08.2014,Natural gas dips as weather forecasts throttle back on heat wave calls,0.05,0.2,Positive
8970,Money Control,natural gas,27.08.2014,"Natural gas gains on weather forecasts, supply uncertainty",0.1,0.4,Positive
8979,Money Control,natural gas,26.08.2014,"Natural gas up in choppy trading on weather forecasts, supply doubts",-0.05,0.3,Negative
8980,Money Control,natural gas,26.08.2014,Natural gas futures rise to 2-week high on demand outlook,0.13,0.47,Positive
8999,Money Control,natural gas,24.08.2014,Natural gas futures - weekly outlook: August 25 - 29,0.1,0.4,Positive
9010,Money Control,natural gas,21.08.2014,Natural gas takes back losses from bearish weekly U.S. inventory data,0.05,0.2,Positive
9011,Money Control,natural gas,21.08.2014,Natural gas futures turn lower after bearish storage data,0.1,0.4,Positive
9026,Money Control,natural gas,20.08.2014,"Natural gas falls on profit taking, eyes storage data",0.1,0.4,Positive
9039,Money Control,natural gas,19.08.2014,Natural gas post strong gains on warmer weather forecasts,0.266666667,0.566666667,Positive
9055,Money Control,natural gas,17.03.2014,Natural gas prices shoot up on chilly spring forecast,-0.25,0.65,Negative
9076,Money Control,natural gas,13.03.2014,"Angel Commodities has come out with its special technical report on MCX Natural Gas. According to the research firm, one can sell MCX Natural Gas March contract between Rs 283â€“288 with a stop loss of Rs 305 for the target price of Rs 255 / 250.",0.071428571,0.374285714,Positive
9096,Money Control,natural gas,11.03.2014,Natural gas prices slide as market preps for spring's arrival,0.1,0.4,Positive
9111,Money Control,natural gas,10.03.2014,Natural gas prices gain on bottom fishing as market looks to spring,0.1,0.4,Positive
9130,Money Control,natural gas,06.03.2014,Natural gas prices spike on bullish supply report,0.1,0.4,Positive
9182,Money Control,natural gas,02.03.2014,Natural gas futures - weekly outlook: March 3 - 7,0.1,0.4,Positive
9194,Money Control,natural gas,28.02.2014,Natural gas rebounds on demand from bargain hunters,0.1,0.4,Positive
9202,Money Control,natural gas,26.02.2014,ï»¿Natural gas futures plunge further ahead of March contract expiration,0,0.5,Neutral
9230,Money Control,natural gas,25.02.2014,Natural gas plummets on forecasts for mild U.S. weather,0.216666667,0.45,Positive
9269,Money Control,natural gas,19.02.2014,Natural gas futures rally 7% to hit 4-year high,0.13,0.47,Positive
9276,Money Control,natural gas,19.02.2014,"Geojit Comtrade has come out with its report on metals and energy. According to the research firm, one can buy MCX Natural Gas February around Rs 352 levels with a stop loss below Rs 348 for the target price of Rs 360.",-0.05,0.4,Negative
9284,Money Control,natural gas,18.02.2014,Natural gas futures rally more than 4% in early trade,0.233333333,0.4,Positive
9297,Money Control,natural gas,17.02.2014,Natural gas futures advance 4% to extend last week's rally,0.05,0.233333333,Positive
9308,Money Control,natural gas,16.02.2014,Natural gas futures - weekly outlook: February 17 - 21,0.1,0.4,Positive
9311,Money Control,natural gas,15.02.2014,Natural gas extends gains on bullish supply report,0.1,0.4,Positive
9321,Money Control,natural gas,13.02.2014,Natural gas surges over 6% up on bullish supply report,0.1,0.4,Positive
9336,Money Control,natural gas,12.02.2014,Natural gas prices higher as yet another winter storm looms,0.175,0.45,Positive
9359,Money Control,natural gas,10.02.2014,Natural gas falls on calls for warmer temperatures across the U.S.,0.1,0.4,Positive
9370,Money Control,natural gas,09.02.2014,Natural gas futures - weekly outlook: February 10 - 14,0.1,0.4,Positive
9372,Money Control,natural gas,07.02.2014,Natural gas extends losses on U.S. thawing trend,0.1,0.4,Positive
9377,Money Control,natural gas,07.02.2014,Natural gas fall on bearish U.S. supply report,0.1,0.4,Positive
9378,Money Control,natural gas,06.02.2014,Natural gas futures trim gains after bearish supply data,0.1,0.4,Positive
9395,Money Control,natural gas,05.02.2014,Natural gas futures turn lower after hitting 4-year high,0.13,0.47,Positive
9423,Money Control,natural gas,03.02.2014,Natural gas futures decline for third day with weather outlook in focus,0.05,0.2,Positive
9438,Money Control,natural gas,31.01.2014,Natural gas falls on reports of U.S. warming trend,0.1,0.4,Positive
9449,Money Control,natural gas,30.01.2014,Natural gas falls hard as U.S. supply report disappoints,-0.095833333,0.470833333,Negative
9450,Money Control,natural gas,30.01.2014,Natural gas futures plunge 6% after U.S. supply data,0.1,0.4,Positive
9465,Money Control,natural gas,30.01.2014,Natural gas firms on hopes for bullish U.S. supply report,0.1,0.4,Positive
9482,Money Control,natural gas,28.01.2014,Natural gas futures resume rally after Monday's rout,0.1,0.4,Positive
9509,Money Control,natural gas,24.01.2014,Natural gas hits 4-year highs on icy U.S. weather forecasts,0,0.25,Neutral
9532,Money Control,natural gas,23.01.2014,Natural gas prices soar as powerful winter storm pummels eastern U.S.,0.2,0.7,Positive
9541,Money Control,natural gas,22.01.2014,"Sharekhan has come out with its report on Natural gas. ""Recently the gas formed a minor degree pullback and has started the next leg down. Natural gas can fall back towards the low of 245.40. The reversal can be trailed to 276.70,"" says the research firm.",-0.022839506,0.248765432,Negative
9546,Money Control,natural gas,21.01.2014,Natural gas prices shoot up on return of chilly U.S. weather,-0.25,0.65,Negative
9587,Money Control,natural gas,16.01.2014,Natural gas futures off the highs after U.S. supply data,0.1,0.4,Positive
9602,Money Control,natural gas,15.01.2014,Natural gas posts fresh gains on expectations for bullish supply report,0.2,0.45,Positive
9604,Money Control,natural gas,15.01.2014,Natural gas futures rally into fourth session with supply data in focus,0.05,0.2,Positive
9617,Money Control,natural gas,15.01.2014,Natural gas futures extend gains on expectations for bullish supply data,0.1,0.4,Positive
9628,Money Control,natural gas,14.01.2014,Natural gas futures soar on expectations for bullish supply data,0.1,0.4,Positive
9641,Money Control,natural gas,11.01.2014,"Natural gas futures gain on weather forecasts, supply concerns",0.1,0.4,Positive
9656,Money Control,natural gas,09.01.2014,"Natural gas futures drop on supply report, weather forecasts",0.1,0.4,Positive
9657,Money Control,natural gas,09.01.2014,Natural gas futures remain lower after U.S. supply data,0.1,0.4,Positive
9660,Money Control,natural gas,09.01.2014,"Way2Wealth has come out with its report on Natural Gas. The research firm has recommended to sell MCX Natural Gas at Rs 260 in its research report dated January 09, 2014.",0,0.4,Neutral
9670,Money Control,natural gas,08.01.2014,Natural gas futures fall on forecasts for return of mild U.S. weather,0.216666667,0.45,Positive
9671,Money Control,natural gas,08.01.2014,"Natural gas futures fluctuate with mild weather, supply data in focus",0.216666667,0.45,Positive
9696,Money Control,natural gas,06.01.2014,Natural gas dips as forecasts point to U.S. warming trend,0.1,0.4,Positive
9714,Money Control,natural gas,04.01.2014,"Natural gas gains on chilly U.S. weather, shrugs off inventory data",-0.25,0.65,Negative
9725,Money Control,natural gas,03.01.2014,Natural gas shoots up as powerful winter storm blasts U.S.,0.2,0.7,Positive
9726,Money Control,natural gas,02.01.2014,Natural gas prices rally 2% as major winter storm heads for Northeast,0.08125,0.45,Positive
9757,Money Control,natural gas,30.12.2013,Natural gas prices rally 2% with cold weather in focus,-0.25,0.7,Negative
9801,Money Control,natural gas,23.12.2013,Natural gas futures rally to highest since July 2011,0.1,0.4,Positive
9803,Money Control,natural gas,23.12.2013,"Long term price outlook looks positive as strong fundamental for natural gas. Prices highly depend on demand and inventory and U.S. winter season is more favorable for natural gas prices, decreasing inventory and collar weather in U.S. support the prices for natural gas, says Fortune Financial Services.",0.174511785,0.435420875,Positive
9834,Money Control,natural gas,19.12.2013,Natural gas soars to 2-1/2 year highs on bullish U.S. inventory report,0.1,0.4,Positive
9849,Money Control,natural gas,18.12.2013,"Geojit Comtrade has come out with its report on metals and energy. According to the research firm, one can buy MCX Natural Gas December around Rs 267 levels with a stop loss placed below Rs 263 levels for target of Rs 275.",-0.05,0.4,Negative
9861,Money Control,natural gas,17.12.2013,Natural gas extends losses on forecasts for brief U.S. warming trend,0.05,0.366666667,Positive
9890,Money Control,natural gas,15.12.2013,Natural gas futures - weekly outlook: December 16 - 20,0.1,0.4,Positive
9907,Money Control,natural gas,12.12.2013,"Natural gas moves off 7-month high on data, weather supports",0.13,0.47,Positive
9922,Money Control,natural gas,11.12.2013,Natural gas prices extend gains on wintry U.S. weather,0.1,0.4,Positive
9936,Money Control,natural gas,10.12.2013,Natural gas prices hold on to highs on frigid U.S. forecast,-0.4,0.7,Negative
9951,Money Control,natural gas,09.12.2013,Natural gas prices rally to 6-month high on freezing U.S. weather,0.13,0.47,Positive
9961,Money Control,natural gas,06.12.2013,"Natural gas prices extend gains on stockpiles data, weather forecasts",0.1,0.4,Positive
9986,Money Control,natural gas,04.12.2013,"Natural gas prices rise with cold weather, supply data in focus",-0.25,0.7,Negative
10030,Money Control,natural gas,01.12.2013,Natural gas futures - weekly outlook: December 2 - 6,0.1,0.4,Positive
10045,Money Control,natural gas,28.11.2013,Natural gas futures rally to 5-month high in holiday-trade,0.13,0.47,Positive
10056,Money Control,natural gas,28.11.2013,Natural gas gains on hopes for bullish supply report,0.1,0.4,Positive
10058,Money Control,natural gas,27.11.2013,Natural gas futures fluctuate near 5-month high ahead of supply data,0.12,0.446666667,Positive
10059,Money Control,natural gas,27.11.2013,"Natural gas could test the levels of USD 4-4.1/MMBtu on NYMEX and Rs 258-60/MMBtu on MCX in the coming months. Hence, any dip towards USD 3.7/MMBtu on NYMEX and Rs. 238/MMBtu on MCX should be considered as a good buying opportunity, says Nirmal Bang.",0.4,0.5,Positive
10068,Money Control,natural gas,26.11.2013,"Natural gas falls on weather reports, holiday demand concerns",0.1,0.4,Positive
10069,Money Control,natural gas,26.11.2013,Natural gas futures trade near 5-month high on wintry U.S. weather,0.12,0.446666667,Positive
10095,Money Control,natural gas,22.11.2013,Natural gas gains on forecasts for blast of wintry weather,0.1,0.4,Positive
10120,Money Control,natural gas,20.11.2013,Natural gas soars as weather models intensify chilly forecasts,-0.25,0.65,Negative
10134,Money Control,natural gas,19.11.2013,Natural gas futures lower for second day despite cool weather,0.15,0.35,Positive
10148,Money Control,natural gas,18.11.2013,Natural gas futures hit 4-week high on chilly weather,-0.113333333,0.613333333,Negative
10160,Money Control,natural gas,15.11.2013,Natural gas rises as weather forecasts point to chilly U.S. temperatures,-0.25,0.65,Negative
10185,Money Control,natural gas,12.11.2013,Natural gas makes fresh gains on cold U.S. weather forecasts,-0.066666667,0.633333333,Negative
10200,Money Control,natural gas,11.11.2013,Natural gas gains on chilly U.S. weather forecasts,-0.25,0.65,Negative
10201,Money Control,natural gas,11.11.2013,"Natural gas futures waver as traders monitor weather, supplies",0.1,0.4,Positive
10212,Money Control,natural gas,10.11.2013,Natural gas futures - weekly outlook: November 11 - 15,0.1,0.4,Positive
10216,Money Control,natural gas,08.11.2013,Natural gas gains as forecasts point to chilly U.S. temperatures,-0.25,0.65,Negative
10246,Money Control,natural gas,06.11.2013,"Natural gas futures inch higher with weather, supply data in focus",0.175,0.45,Positive
10260,Money Control,natural gas,05.11.2013,Natural gas trades at lowest since August on mild November weather,0.216666667,0.45,Positive
10280,Money Control,natural gas,03.11.2013,Natural gas futures - weekly outlook: Nov. 4 - 8,0.1,0.4,Positive
10312,Money Control,natural gas,30.10.2013,"Natural gas futures fluctuate with weather, supplies in focus",0.1,0.4,Positive
10322,Money Control,natural gas,30.10.2013,Natural gas prices fall on mild weather forecasts,0.216666667,0.45,Positive
10325,Money Control,natural gas,29.10.2013,Natural gas futures edge lower as mild weather forecasts weigh,0.216666667,0.45,Positive
10339,Money Control,natural gas,28.10.2013,Natural gas prices fall as forecasts callfor U.S. warming trend,0.1,0.4,Positive
10340,Money Control,natural gas,28.10.2013,Natural gas tumbles on forecast for warmer weather,0.1,0.4,Positive
10365,Money Control,natural gas,24.10.2013,Natural gas gains despite sluggish supply report,0.1,0.4,Positive
10366,Money Control,natural gas,24.10.2013,Natural gas futures erase losses after U.S. supply data,0.1,0.4,Positive
10454,Money Control,natural gas,15.10.2013,Natural gas drops as market looks past falling temperatures,-0.075,0.325,Negative
10465,Money Control,natural gas,14.10.2013,Natural gas futures rise to 4-month high on colder weather outlook,0.13,0.47,Positive
10482,Money Control,natural gas,11.10.2013,"Natural gas prices gain on bullish supply report, cold weather forecasts",-0.25,0.7,Negative
10497,Money Control,natural gas,10.10.2013,Natural gas prices gain on bullish supply report,0.1,0.4,Positive
10498,Money Control,natural gas,10.10.2013,Natural gas futures rally to 3-week high after bullish U.S. supply data,0.13,0.47,Positive
10541,Money Control,natural gas,07.10.2013,Natural gas futures rally 3% on warmer weather outlook,0.1,0.4,Positive
10556,Money Control,natural gas,06.10.2013,Natural gas futures - Weekly review: Sept. 30 - Oct. 4,0.1,0.4,Positive
10561,Money Control,natural gas,04.10.2013,Natural gas prices gain as tropical storm bears down on Gulf Coast,-0.027777778,0.344444444,Negative
10569,Money Control,natural gas,03.10.2013,Natural gas futures decline after bearish U.S. supply data,0.1,0.4,Positive
10583,Money Control,natural gas,02.10.2013,"Natural gas futures fluctuate with storm activity, stockpiles in focus",0.1,0.4,Positive
10603,Money Control,natural gas,30.09.2013,Natural gas futures drop 2% as mild U.S. weather weighs,0.216666667,0.45,Positive
10615,Money Control,natural gas,29.09.2013,Natural gas futures - Weekly review: September 23 - 27,0.1,0.4,Positive
10662,Money Control,natural gas,23.09.2013,Natural gas prices fall on forecasts for seasonably mild temperatures,0.216666667,0.45,Positive
10663,Money Control,natural gas,23.09.2013,Natural gas futures fall to 1-week low on reduced demand outlook,0.05,0.35,Positive
10680,Money Control,natural gas,20.09.2013,Natural gas prices dip with arrival of fall in northern hemisphere,0.1,0.4,Positive
10693,Money Control,natural gas,19.09.2013,"Natural gas prices shrug off soft supply data, dip on weather forecasts",0.1,0.375,Positive
10734,Money Control,natural gas,16.09.2013,Natural gas futures rally to 8-week high with storm activity in focus,0.13,0.47,Positive
10743,Money Control,natural gas,15.09.2013,Natural gas futures - Weekly review: September 9 - 13,0.1,0.4,Positive
10746,Money Control,natural gas,13.09.2013,Natural gas extends gains on bullish U.S. supply data,0.1,0.4,Positive
10760,Money Control,natural gas,12.09.2013,Natural gas surges on surprisingly bullish U.S. supply data,0.4,0.45,Positive
10761,Money Control,natural gas,12.09.2013,Natural gas futures rally 2% after bullish U.S. supply data,0.1,0.4,Positive
10809,Money Control,natural gas,08.09.2013,Natural gas futures - Weekly review: September 2 - 6,0.1,0.4,Positive
10813,Money Control,natural gas,06.09.2013,"Natural gas dips on U.S. supply data, quiet weather in tropics",0.05,0.366666667,Positive
10821,Money Control,natural gas,05.09.2013,Natural gas prices drop as U.S. stockpiles make unexpected gain,0.1,0.7,Positive
10835,Money Control,natural gas,04.09.2013,Natural gas prices ease off gains from U.S. warming trend,0.1,0.4,Positive
10857,Money Control,natural gas,03.09.2013,"Natural gas prices climb on U.S. warming trend, tropical storm potential",0.05,0.7,Positive
10876,Money Control,natural gas,02.09.2013,Natural gas futures rally to 6-week high in thin Labor Day trade,-0.046666667,0.596666667,Negative
10892,Money Control,natural gas,01.09.2013,Natural gas futures - Weekly outlook: September 2 - 6,0.1,0.4,Positive
10896,Money Control,natural gas,30.08.2013,Natural gas prices extend declines on bearish U.S. inventory figures,0.1,0.4,Positive
10911,Money Control,natural gas,29.08.2013,Natural gas futures erase gains after bearish U.S. supply data,0.1,0.4,Positive
10946,Money Control,natural gas,27.08.2013,"Natural gas prices falls on cooler forecasts, contract expiration",0.1,0.4,Positive
10947,Money Control,natural gas,27.08.2013,Natural gas futures decline ahead of September contract expiration,0.1,0.4,Positive
10963,Money Control,natural gas,26.08.2013,Natural gas prices wane from 4-week high but find support on weather,0.13,0.47,Positive
10980,Money Control,natural gas,23.08.2013,"Natural gas prices drop on profit taking, cool weather forecasts",0.225,0.525,Positive
10988,Money Control,natural gas,23.08.2013,"Nirmal Bang has come out with its fundamental outlook on natural gas. According to the research firm, prices are expected to remain supportive on expectations of warmer weather conditions in the US.",0.075,0.55,Positive
10995,Money Control,natural gas,22.08.2013,Natural gas prices gain as inventory report points to strong demand,0.266666667,0.566666667,Positive
11007,Money Control,natural gas,21.08.2013,"Natural gas trades near 3-week high with weather, supplies in focus",0.12,0.446666667,Positive
11039,Money Control,natural gas,19.08.2013,Natural gas prices shoot up as forecasts point to warming trend,0.1,0.4,Positive
11093,Money Control,natural gas,13.08.2013,"Natural gas prices dip on profit taking, weather forecasts support",0.1,0.4,Positive
11107,Money Control,natural gas,13.08.2013,"N Prasad of Safetrade Advisors advocates buying MCX crude. Prasad says, ""Keep a stop loss for this trade at Rs 6,430 per barrel for a target is of Rs 6,560 per barrel"".",-0.7,1,Negative
11110,Money Control,natural gas,12.08.2013,Natural gas prices soar as weather forecasts heat up,0.1,0.4,Positive
11112,Money Control,natural gas,12.08.2013,Natural gas futures rally more than 3% as weather turns warmer,0.3,0.45,Positive
11130,Money Control,natural gas,11.08.2013,Natural gas futures - Weekly outlook: August 12 - 16,0.1,0.4,Positive
11134,Money Control,natural gas,08.08.2013,Natural gas bounces back from earlier losses stemming from supply data,0.033333333,0.3,Positive
11158,Money Control,natural gas,06.08.2013,Natural gas trades sideways on forecasts for warmer temps in U.S. plains,0.1,0.4,Positive
11159,Money Control,natural gas,06.08.2013,Natural gas hits fresh 5-month low as weather outlook weighs,0.133333333,0.4,Positive
11178,Money Control,natural gas,05.08.2013,Natural gas trades at lowest since February on weather outlook,0.1,0.4,Positive
11191,Money Control,natural gas,04.08.2013,Natural gas futures - Weekly outlook: August 5 - 9,0.1,0.4,Positive
11194,Money Control,natural gas,02.08.2013,"Natural gas prices extend losses on supply data, weather forecasts",0.1,0.4,Positive
11210,Money Control,natural gas,01.08.2013,Natural gas futures tumble to 5-month low after U.S. supply data,0.05,0.35,Positive
11231,Money Control,natural gas,31.07.2013,Natural gas futures bounce off 5-month low on bargain buying,0.05,0.35,Positive
11238,Money Control,natural gas,31.07.2013,"According to Sushil Finance, the Natural gas prices are expected to trade on the negative note on the back of mild weather forecast, as it may slow down the demand for air conditioning.",-0.06031746,0.341269841,Negative
11244,Money Control,natural gas,30.07.2013,Natural gas prices fall as milder summer temperatures move over U.S.,0.1,0.4,Positive
11262,Money Control,natural gas,29.07.2013,Natural gas prices extend hefty losses on forecasts for mild summer temp,0.216666667,0.45,Positive
11298,Money Control,natural gas,25.07.2013,Natural gas prices dip as weather forecasts call for mild temperatures,0.216666667,0.45,Positive
11299,Money Control,natural gas,25.07.2013,Natural gas futures fall after U.S. supply data,0.1,0.4,Positive
11357,Money Control,natural gas,22.07.2013,Natural gas prices fall as weather forecasts see break in heat wave,0.1,0.4,Positive
11358,Money Control,natural gas,22.07.2013,Natural gas futures plunge 4% as temperatures moderate,0.05,0.55,Positive
11377,Money Control,natural gas,21.07.2013,Natural gas futures - Weekly outlook: July 22 - 26,0.1,0.4,Positive
11390,Money Control,natural gas,18.07.2013,Natural gas futures surge 4% after U.S. supply data,0.1,0.4,Positive
11409,Money Control,natural gas,17.07.2013,"Natural gas futures fall 1% with supply data, weather in focus",0.1,0.4,Positive
11420,Money Control,natural gas,16.07.2013,Natural gas futures lower in U.S. trade,0.1,0.4,Positive
11431,Money Control,natural gas,16.07.2013,"Nirmal Bang has come out with its technical outlook on Natural Gas. ""Expect the Natural Gas prices may see a bounce back of Rs 4-5 in the coming days. One can sell August contract between Rs 216-20 with a stop loss below Rs 232.5 on a daily closing basis for the target of Rs 195-190 in the coming weeks,"" says NBang.",0.04,0.18,Positive
11436,Money Control,natural gas,15.07.2013,Natural gas prices drop as weather forecasts point to cooling trend,0.1,0.4,Positive
11467,Money Control,natural gas,11.07.2013,Natural gas prices drop as supplies rise in line with expectations,0.1,0.4,Positive
11478,Money Control,natural gas,10.07.2013,Natural gas prices gain as weather models call for warming trend,0.1,0.4,Positive
11506,Money Control,natural gas,08.07.2013,Natural gas prices soar as forecasts point to return of hot weather,0.175,0.625,Positive
11507,Money Control,natural gas,08.07.2013,Natural gas jumps 3% to hit 2-week high on warm weather forecasts,0.286666667,0.513333333,Positive
11530,Money Control,natural gas,05.07.2013,Natural gas prices drop as weather models point to moderate temperatures,0.05,0.55,Positive
11550,Money Control,natural gas,04.07.2013,Natural gas futures little changed in holiday-thinned trade,-0.04375,0.45,Negative
11571,Money Control,natural gas,03.07.2013,Natural gas futures tumble 2% ahead of U.S. supply report,0.1,0.4,Positive
